Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield
NVDA,Nvidia Corp,Common stocks,Large cap,Information Technology,"$401,388,000,000",0.10%
NVR,"NVR, Inc.",Common stocks,Large cap,Consumer Discretionary,"$15,100,566,075",0.00%
NWL,Newell Brands Inc,Common stocks,Mid cap,Consumer Discretionary,"$5,298,216,000",7.03%
NWS,News Corp Class B,Common stocks,Large cap,Communication Services,"$10,528,610,509",1.08%
NWSA,News Corp Class A,Common stocks,Large cap,Communication Services,"$10,528,610,509",1.10%
NXPI,NXP Semiconductors Nv,Common stocks,Large cap,Information Technology,"$42,485,160,625",1.88%
O,Realty Income Corporation,REITs,Large cap,Real Estate,"$39,868,170,944",4.58%
ODFL,Old Dominion Freight Line Inc,Common stocks,Large cap,Industrials,"$31,669,556,946",0.42%
OGN,Organon & Co.,Common stocks,Mid cap,Health Care,"$6,633,823,787",4.18%
OKE,Oneok Inc,Common stocks,Large cap,Energy,"$28,538,002,812",5.72%
OMC,Omnicom Group Inc,Common stocks,Large cap,Communication Services,"$15,430,333,406",3.65%
ON,ON Semiconductor Corp,Common stocks,Large cap,Information Technology,"$30,330,189,410",0.00%
ORCL,Oracle Corp,Common stocks,Large cap,Information Technology,"$212,403,982,296",1.61%
ORLY,Oreilly Automotive Inc,Common stocks,Large cap,Consumer Discretionary,"$51,862,289,278",0.00%
OTIS,Otis Worldwide Corporation,Common stocks,Large cap,Industrials,"$32,910,300,083",1.40%
OXY,Occidental Petroleum Corp,Common stocks,Large cap,Energy,"$58,125,059,829",0.62%
PARA,Paramount Global - Class B,Common stocks,Large cap,Communication Services,"$11,786,473,009",5.29%
PAYC,Paycom Software Inc,Common stocks,Large cap,Information Technology,"$18,544,493,410",0.00%
PAYX,Paychex Inc,Common stocks,Large cap,Information Technology,"$43,406,648,625",2.49%
PCAR,Paccar Inc,Common stocks,Large cap,Industrials,"$36,338,233,912",1.32%
PCG,Pacific Gas & Electric Co.,Common stocks,Large cap,Utilities,"$30,984,300,000",0.00%
PEAK,"Healthpeak Properties, Inc.",REITs,Large cap,Real Estate,"$13,626,642,650",4.65%
PEG,Public Service Enterprise Group Inc,Common stocks,Large cap,Utilities,"$29,912,037,153",2.68%
PEP,Pepsico Inc,Common stocks,Large cap,Consumer Staples,"$250,991,063,696",2.46%
PFE,Pfizer Inc,Common stocks,Large cap,Health Care,"$282,012,922,339",3.15%
PFG,Principal Financial Group Inc,Common stocks,Large cap,Financials,"$22,080,174,970",2.80%
PG,Procter & Gamble,Common stocks,Large cap,Consumer Staples,"$358,397,440,072",2.38%
PGR,Progressive Corp,Common stocks,Large cap,Financials,"$76,339,896,022",1.45%
PH,Parker-Hannifin Corp,Common stocks,Large cap,Industrials,"$37,502,177,796",1.70%
PHM,Pultegroup Inc,Common stocks,Large cap,Consumer Discretionary,"$10,160,759,690",1.34%
PKG,Packaging Corp Of America,Common stocks,Large cap,Materials,"$12,510,661,696",3.28%
PKI,Perkinelmer Inc,Common stocks,Large cap,Health Care,"$17,582,995,399",0.20%
PLD,"Prologis, Inc",REITs,Large cap,Real Estate,"$107,077,114,932",2.56%
PM,Philip Morris International Inc,Common stocks,Large cap,Consumer Staples,"$157,934,610,833",4.83%
PNC,"PNC Financial Services Group, Inc.",Common stocks,Large cap,Financials,"$62,554,782,018",3.66%
PNR,Pentair,Common stocks,Mid cap,Industrials,"$7,387,621,078",1.86%
PNW,Pinnacle West Corp,Common stocks,Mid cap,Utilities,"$8,781,942,557",4.32%
POOL,Pool Corp,Common stocks,Large cap,Consumer Discretionary,"$12,538,372,427",1.18%
PPG,PPG Industries Inc,Common stocks,Large cap,Materials,"$30,421,945,879",1.86%
PPL,PPL Corporation,Common stocks,Large cap,Utilities,"$21,338,503,870",3.62%
PRU,Prudential Financial Inc,Common stocks,Large cap,Financials,"$38,178,360,000",4.60%
PSA,Public Storage,REITs,Large cap,Real Estate,"$52,132,986,326",2.59%
PSX,Phillips 66,Common stocks,Large cap,Energy,"$48,685,844,261",3.67%
PTC,PTC Inc,Common stocks,Large cap,Information Technology,"$14,289,290,309",0.00%
PWR,Quanta Services Inc,Common stocks,Large cap,Industrials,"$21,193,670,446",0.19%
PXD,Pioneer Natural Resource,Common stocks,Large cap,Energy,"$55,500,551,979",11.11%
PYPL,Paypal Holdings Inc,Common stocks,Large cap,Information Technology,"$84,840,863,815",0.00%
QCOM,Qualcomm Inc,Common stocks,Large cap,Information Technology,"$132,513,410,000",2.46%
QRVO,"Qorvo, Inc.",Common stocks,Mid cap,Information Technology,"$9,674,583,514",0.00%
RCL,Royal Caribbean Cruises Ltd,Common stocks,Large cap,Consumer Discretionary,"$14,427,991,128",0.00%
RE,Everest Re Group Ltd,Common stocks,Large cap,Financials,"$13,039,998,070",1.94%
REG,Regency Centers Corporation,REITs,Large cap,Real Estate,"$11,251,318,840",3.74%
REGN,Regeneron Pharmaceuticals Inc,Common stocks,Large cap,Health Care,"$81,840,927,419",0.00%
RF,Regions Financial Corp,Common stocks,Large cap,Financials,"$20,174,680,634",3.38%
RHI,Robert Half,Common stocks,Mid cap,Industrials,"$8,016,956,825",2.31%
RJF,Raymond James Inc,Common stocks,Large cap,Financials,"$24,497,893,537",1.19%
RL,Ralph Lauren Corp Class A,Common stocks,Mid cap,Consumer Discretionary,"$7,440,888,400",2.59%
RMD,Resmed Inc,Common stocks,Large cap,Health Care,"$32,545,737,357",0.77%
ROK,Rockwell Automation Inc,Common stocks,Large cap,Industrials,"$29,258,844,605",1.76%
ROL,Rollins Inc,Common stocks,Large cap,Industrials,"$19,442,811,773",1.08%
ROP,Roper Technologies Inc,Common stocks,Large cap,Information Technology,"$46,049,922,888",0.57%
ROST,Ross Stores Inc,Common stocks,Large cap,Consumer Discretionary,"$40,037,164,954",1.07%
RSG,Republic Services Inc,Common stocks,Large cap,Industrials,"$42,840,246,894",1.38%
RTX,Raytheon Technologies Corporation,Common stocks,Large cap,Industrials,"$145,594,819,156",2.16%
SBAC,SBA Communications Corporation,REITs,Large cap,Real Estate,"$31,061,685,283",0.98%
SBNY,Signature Bank,Common stocks,Mid cap,Financials,"$7,093,406,353",1.91%
SBUX,Starbucks Corp,Common stocks,Large cap,Consumer Discretionary,"$116,926,386,000",1.94%
SCHW,Charles Schwab Corporation,Common stocks,Large cap,Financials,"$145,612,664,839",1.04%
SEDG,SolarEdge Technologies Inc,Common stocks,Large cap,Information Technology,"$17,371,568,201",0.00%
SEE,Sealed Air Corp,Common stocks,Mid cap,Materials,"$7,578,607,578",1.52%
SHW,Sherwin Williams,Common stocks,Large cap,Materials,"$65,076,094,626",0.95%
SIVB,SVB Financial Group,Common stocks,Large cap,Financials,"$12,310,206,947",0.00%
SJM,J.M. Smucker,Common stocks,Large cap,Consumer Staples,"$16,588,847,470",2.54%
SLB,Schlumberger Nv,Common stocks,Large cap,Energy,"$70,616,089,995",1.30%
SNA,Snap On Inc,Common stocks,Large cap,Industrials,"$12,556,720,371",2.47%
SNPS,Synopsys Inc,Common stocks,Large cap,Information Technology,"$49,512,693,187",0.00%
SO,Southern Co,Common stocks,Large cap,Utilities,"$74,574,088,718",3.89%
SPG,"Simon Property Group, Inc",REITs,Large cap,Real Estate,"$38,334,393,995",5.54%
SPGI,S&P Global Inc,Common stocks,Large cap,Financials,"$117,056,160,000",0.94%
SRE,Sempra Energy,Common stocks,Large cap,Utilities,"$51,054,024,818",2.76%
STE,STERIS PLC,Common stocks,Large cap,Health Care,"$18,523,147,159",0.97%
STT,State Street Corp,Common stocks,Large cap,Financials,"$29,520,334,826",2.87%
STX,Seagate Technology Plc,Common stocks,Large cap,Information Technology,"$10,974,513,200",5.25%
STZ,Constellation Brands Class A,Common stocks,Large cap,Consumer Staples,"$39,767,634,677",1.27%
SWK,Stanley Black & Decker Inc,Common stocks,Large cap,Industrials,"$11,428,502,969",4.06%
SWKS,Skyworks Solutions Inc,Common stocks,Large cap,Information Technology,"$14,728,411,445",2.54%
SYF,Synchrony Financial,Common stocks,Large cap,Financials,"$15,602,249,652",2.57%
SYK,Stryker Corp,Common stocks,Large cap,Health Care,"$91,610,317,212",1.14%
SYY,Sysco Corp,Common stocks,Large cap,Consumer Staples,"$42,664,758,014",2.26%
T,AT&T Inc.,Common stocks,Large cap,Communication Services,"$137,609,000,000",6.20%
TAP,Molson Coors Brewing Class B,Common stocks,Small cap,Consumer Staples,"$780,115,241",2.84%
TDG,Transdigm Group Inc,Common stocks,Large cap,Industrials,"$33,151,647,435",0.00%
TDY,Teledyne Technologies Inc,Common stocks,Large cap,Information Technology,"$19,270,112,465",0.00%
TECH,Bio-Techne Corp,Common stocks,Mid cap,Health Care,"$3,165,683,117",0.40%
TEL,TE Connectivity Ltd,Common stocks,Large cap,Information Technology,"$38,562,547,238",1.78%
TER,Teradyne Inc,Common stocks,Large cap,Information Technology,"$14,229,881,499",0.48%
TFC,Truist Financial Corporation,Common stocks,Large cap,Financials,"$55,511,901,490",4.70%
TFX,Teleflex Inc,Common stocks,Large cap,Health Care,"$11,272,554,459",0.56%
TGT,Target Corp,Common stocks,Large cap,Consumer Discretionary,"$70,769,981,989",2.54%
TJX,"TJX Companies, Inc.",Common stocks,Large cap,Consumer Discretionary,"$91,747,029,431",1.43%
TMO,Thermo Fisher Scientific Inc,Common stocks,Large cap,Health Care,"$218,900,028,184",0.21%
TMUS,T Mobile US Inc,Common stocks,Large cap,Communication Services,"$185,117,693,598",0.00%
TPR,Tapestry,Common stocks,Mid cap,Consumer Discretionary,"$8,855,327,812",2.16%
TRGP,Targa Resources Corp,Common stocks,Large cap,Energy,"$15,522,560,287",2.03%
TRMB,Trimble Inc,Common stocks,Large cap,Information Technology,"$14,175,987,239",0.00%
TROW,T Rowe Price Group Inc,Common stocks,Large cap,Financials,"$27,095,108,455",3.80%
TRV,Travelers Companies Inc,Common stocks,Large cap,Financials,"$44,069,052,076",1.91%
TSCO,Tractor Supply,Common stocks,Large cap,Consumer Discretionary,"$24,008,081,668",1.68%
TSLA,Tesla Inc,Common stocks,Large cap,Consumer Discretionary,"$545,349,126,632",0.00%
TSN,Tyson Foods Inc Class A,Common stocks,Large cap,Consumer Staples,"$22,922,816,200",2.89%
TT,Trane Technologies plc,Common stocks,Large cap,Industrials,"$40,393,596,645",1.52%
TTWO,Take Two Interactive Software Inc,Common stocks,Large cap,Communication Services,"$16,696,324,846",0.00%
TXN,Texas Instrument Inc,Common stocks,Large cap,Information Technology,"$157,690,584,960",2.67%
TXT,Textron Inc,Common stocks,Large cap,Industrials,"$15,150,545,723",0.11%
TYL,Tyler Technologies Inc,Common stocks,Large cap,Information Technology,"$12,859,649,699",0.00%
UAL,United Continental Holdings Inc,Common stocks,Large cap,Industrials,"$14,396,371,394",0.00%
UDR,"UDR, Inc",REITs,Large cap,Real Estate,"$12,829,601,550",3.76%
UHS,Universal Health Services Inc.,Common stocks,Mid cap,Health Care,"$9,348,948,686",0.62%
ULTA,Ulta Beauty Inc,Common stocks,Large cap,Consumer Discretionary,"$24,425,314,119",0.00%
UNH,Unitedhealth Group Inc,Common stocks,Large cap,Health Care,"$507,267,455,222",1.17%
UNP,Union Pacific Corp,Common stocks,Large cap,Industrials,"$130,473,025,776",2.32%
UPS,United Parcel Service Inc Class B,Common stocks,Large cap,Industrials,"$151,075,254,658",3.41%
URI,United Rentals Inc,Common stocks,Large cap,Industrials,"$24,363,317,241",0.00%
USB,US Bancorp,Common stocks,Large cap,Financials,"$64,722,471,050",4.20%
V,Visa Inc Class A,Common stocks,Large cap,Information Technology,"$392,847,052,415",0.75%
VFC,VF Corp,Common stocks,Large cap,Consumer Discretionary,"$11,256,759,482",6.79%
VICI,VICI Properties Inc,REITs,Large cap,Real Estate,"$32,485,290,413",4.28%
VLO,Valero Energy Corp,Common stocks,Large cap,Energy,"$46,336,042,783",3.22%
VMC,Vulcan Materials,Common stocks,Large cap,Materials,"$23,803,619,701",0.89%
VNO,Vornado Realty Trust,REITs,Mid cap,Real Estate,"$4,083,777,202",9.66%
VRSK,Verisk Analytics Inc,Common stocks,Large cap,Industrials,"$28,612,739,332",0.67%
VRSN,Verisign Inc,Common stocks,Large cap,Information Technology,"$20,778,165,211",0.00%
VRTX,Vertex Pharmaceuticals Inc,Common stocks,Large cap,Health Care,"$81,520,071,326",0.00%
VTR,"Ventas, Inc",REITs,Large cap,Real Estate,"$17,515,642,103",4.05%
VTRS,Viatris Inc.,Common stocks,Large cap,Health Care,"$13,218,262,118",4.33%
VZ,Verizon Communications Inc,Common stocks,Large cap,Communication Services,"$156,107,214,505",6.77%
WAB,Westinghouse Air Brake Technologies,Common stocks,Large cap,Industrials,"$18,352,286,156",0.59%
WAT,Waters Corp,Common stocks,Large cap,Health Care,"$20,236,596,348",0.00%
WBA,Walgreen Boots Alliance Inc,Common stocks,Large cap,Consumer Staples,"$35,154,652,149",4.63%
WBD,"Warner Bros. Discovery, Inc. - Series A",Common stocks,Large cap,Communication Services,"$26,080,973,201",0.00%
WDC,Western Digital Corp,Common stocks,Large cap,Information Technology,"$10,844,581,071",0.00%
WEC,WEC Energy Group Inc,Common stocks,Large cap,Utilities,"$29,836,952,287",3.02%
WELL,Welltower Inc,REITs,Large cap,Real Estate,"$30,713,893,990",2.79%
WFC,Wells Fargo,Common stocks,Large cap,Financials,"$161,755,338,620",2.57%
WHR,Whirlpool Corp,Common stocks,Mid cap,Consumer Discretionary,"$7,777,329,817",4.82%
WM,Waste Management Inc,Common stocks,Large cap,Industrials,"$67,814,921,030",1.56%
WMB,Williams Inc,Common stocks,Large cap,Energy,"$41,167,702,788",4.90%
WMT,Walmart Stores Inc,Common stocks,Large cap,Consumer Staples,"$402,119,856,052",1.49%
WRB,WR Berkley Corp,Common stocks,Large cap,Financials,"$19,817,792,433",0.38%
WRK,Westrock,Common stocks,Mid cap,Materials,"$9,145,435,693",2.82%
